# real user sys  buff
2.94 0.36 2.58 1
#buf_size 1
1.39 0.19 1.19 2
#buf_size 2
0.77 0.11 0.65 4
#buf_size 4
0.45 0.05 0.40 8
#buf_size 8
0.18 0.01 0.16 16
#buf_size 16
0.09 0.01 0.07 32
#buf_size 32
0.08 0.01 0.05 64
#buf_size 64
0.03 0.00 0.02 128
#buf_size 128
0.01 0.00 0.01 256
#buf_size 256
0.00 0.00 0.00 512
#buf_size 512
0.00 0.00 0.00 1024
#buf_size 1024
0.00 0.00 0.00 2048
#buf_size 2048
0.00 0.00 0.00 4096
#buf_size 4096
0.00 0.00 0.00 8192
#buf_size 8192
0.00 0.00 0.00 16384
#buf_size 16384
0.00 0.00 0.00 32768
#buf_size 32768
0.00 0.00 0.00 65536
#buf_size 65536
0.00 0.00 0.00 131072
#buf_size 131072
0.00 0.00 0.00 262144
#buf_size 262144
0.00 0.00 0.00 524288
#buf_size 524288
0.00 0.00 0.00 104876
#buf_size 1048576
0.00 0.00 0.00 2097152
#buf_size 2097152
0.00 0.00 0.00 4194304
#buf_size 4194304
0.00 0.00 0.00 8388608
#buf_size 8388608
